instance rs rt gs gt ts tt frs frt fgs fgt fts ftt brs brt bgs bgt bts btt vrs vrt vgs vgt vts vtt
OR10x250-0.25_1.dat 45799 0.019 50750 0.027 57077 0.817 55433 3.858 54405 0.704 58083 4.106 57042 22.242 53481 1.384 57972 4.691 58087 422.13 56543 184.07 58793 2919.62
OR10x250-0.25_2.dat 45314 0.018 52233 0.023 57041 0.813 55022 4.188 54353 1.145 58293 2.82 52693 10.843 54541 2.415 58399 4.763 57370 1049.97 56691 294.47 58405 1542.13
OR10x250-0.25_3.dat 41268 0.017 48185 0.024 55631 0.774 52533 2.686 53349 0.693 57213 2.951 53721 17.197 52947 1.163 57422 11.78 56868 1106.25 57120 257.433 57661 1651.17
OR10x250-0.25_4.dat 44706 0.018 53818 0.022 59634 0.819 55463 2.11 55659 0.462 60810 2.909 56412 14.317 56256 1.686 60810 7.733 60184 1091.95 59000 367.813 60810 1377.25
OR10x250-0.25_5.dat 46590 0.017 50299 0.023 54419 0.759 52878 2.13 52804 0.394 57030 3.108 52431 7.644 54817 1.86 56926 9.679 57113 1353.52 56635 447.071 57481 1307.24
OR10x250-0.25_6.dat 44186 0.019 52031 0.021 55415 0.798 55447 3.972 54066 0.674 57354 2.754 56332 19.102 53694 0.697 57420 8.676 58202 860.021 56085 187.232 58295 3137.89
OR10x250-0.25_7.dat 44779 0.019 51243 0.024 56443 0.777 54289 5.934 53406 0.363 57816 4.5 56168 20.178 53391 0.65 57900 7.039 57170 699.094 56143 412.716 58178 1658.45
OR10x250-0.25_8.dat 43842 0.017 48748 0.022 56435 0.863 56413 5.451 54215 0.472 58049 5.718 56554 20.146 55221 2.542 57936 9.275 56836 409.019 57260 335.049 58517 2211.55
OR10x250-0.25_9.dat 46036 0.018 52365 0.023 57034 0.764 55918 5.049 54438 0.437 58719 2.728 55399 13.344 55358 1.277 58805 6.582 58539 642.335 57683 174.086 59216 3411.83
OR10x250-0.50_10.dat 87675 0.019 100333 0.022 104105 1.83 103722 9.611 102802 0.913 105498 7.295 103922 49.006 103697 2.498 106174 16.846 105811 5357.03 105515 1806.9 105961 9200.22
OR10x250-0.50_1.dat 93168 0.03 103285 0.024 107468 1.413 106413 4.556 107094 0.996 109918 6.445 106979 38.452 107825 3.225 110157 19.421 109618 5667.55 110065 1534.62 110565 30728
OR10x250-0.50_2.dat 90354 0.031 102641 0.025 105332 1.608 103663 7.443 105899 0.864 107216 7.048 106045 49.621 105620 2.178 108119 17.922 107641 5489.93 107762 1400.97 108405 17366.5
